STATE,FIRE_YEAR,STAT_CAUSE_DESCR,COUNT_CAUSES
AK,2008,Structure,11
AK,2009,Arson,25
AK,2009,Campfire,53
AK,2009,Children,10
AK,2009,Debris Burning,91
AK,2009,Equipment Use,17
AK,2009,Fireworks,3
AK,2009,Lightning,195
AK,2009,Miscellaneous,61
AK,2009,Missing/Undefined,17
AK,2009,Powerline,20
AK,2009,Railroad,1
AK,2009,Smoking,3
AK,2009,Structure,17
AK,2010,Arson,43
AK,2010,Campfire,76
AK,2010,Children,15
AK,2010,Debris Burning,78
AK,2010,Equipment Use,19
AK,2010,Lightning,333
AK,2010,Miscellaneous,42
AK,2010,Missing/Undefined,37
AK,2010,Powerline,35
AK,2010,Smoking,2
AK,2010,Structure,11
AK,2011,Arson,35
AK,2011,Campfire,85
AK,2011,Children,18
AK,2011,Debris Burning,93
AK,2011,Equipment Use,23
AK,2011,Lightning,133
AK,2011,Miscellaneous,62
AK,2011,Missing/Undefined,48
AK,2011,Railroad,1
AK,2011,Smoking,6
AK,2011,Structure,4
AK,2012,Arson,6
AK,2012,Campfire,47
AK,2012,Children,11
AK,2012,Debris Burning,67
AK,2012,Equipment Use,18
AK,2012,Lightning,146
AK,2012,Miscellaneous,67
AK,2012,Missing/Undefined,43
AK,2012,Powerline,1
AK,2012,Railroad,1
AK,2012,Smoking,2
AK,2013,Arson,6
AK,2013,Campfire,62
AK,2013,Children,6
AK,2013,Debris Burning,123
AK,2013,Equipment Use,30
AK,2013,Lightning,212
AK,2013,Miscellaneous,77
AK,2013,Missing/Undefined,69
AK,2013,Powerline,3
AK,2013,Smoking,4
AK,2014,Arson,14
AK,2014,Campfire,20
AK,2014,Debris Burning,7
AK,2014,Equipment Use,3
AK,2014,Lightning,53
AK,2014,Miscellaneous,13
AK,2014,Missing/Undefined,281
AK,2014,Powerline,2
AK,2015,Arson,13
AK,2015,Campfire,29
AK,2015,Debris Burning,3
AK,2015,Equipment Use,2
AK,2015,Lightning,422
AK,2015,Miscellaneous,14
AK,2015,Missing/Undefined,281
AK,2015,Powerline,5
AK,2015,Smoking,2
AL,1992,Arson,68
AL,1992,Campfire,2
AL,1992,Debris Burning,8
AL,1992,Fireworks,1
AL,1992,Lightning,2
AL,1992,Miscellaneous,10
AL,1992,Railroad,1
AL,1992,Smoking,1
AL,1993,Arson,98
AL,1993,Campfire,2
AL,1993,Debris Burning,4
AL,1993,Equipment Use,3
AL,1993,Fireworks,1
AL,1993,Lightning,9
AL,1993,Miscellaneous,15
AL,1993,Railroad,2
AL,1993,Smoking,3
AL,1994,Arson,86
AL,1994,Campfire,1006
AL,1994,Children,57
AL,1994,Debris Burning,1846
AL,1994,Equipment Use,33
AL,1994,Lightning,14
AL,1994,Miscellaneous,147
AL,1994,Missing/Undefined,1
AL,1994,Railroad,161
AL,1994,Smoking,101
AL,1995,Arson,136
AL,1995,Campfire,1235
AL,1995,Children,80
AL,1995,Debris Burning,2146
AL,1995,Equipment Use,47
AL,1995,Lightning,64
AL,1995,Miscellaneous,202
AL,1995,Missing/Undefined,1
AL,1995,Railroad,180
AL,1995,Smoking,139
AL,1996,Arson,109
AL,1996,Campfire,1230
AL,1996,Children,108
AL,1996,Debris Burning,1998
AL,1996,Equipment Use,30
AL,1996,Lightning,37
AL,1996,Miscellaneous,226
AL,1996,Railroad,170
AL,1996,Smoking,140
AL,1997,Arson,1303
AL,1997,Campfire,26
AL,1997,Children,55
AL,1997,Debris Burning,824
AL,1997,Equipment Use,160
AL,1997,Lightning,10
AL,1997,Miscellaneous,116
AL,1997,Railroad,43
AL,1997,Smoking,54
AL,1998,Arson,1867
AL,1998,Campfire,35
AL,1998,Children,64
AL,1998,Debris Burning,1022
AL,1998,Equipment Use,193
AL,1998,Lightning,50
AL,1998,Miscellaneous,203
AL,1998,Railroad,33
AL,1998,Smoking,99
AL,1999,Arson,2338
AL,1999,Campfire,46
AL,1999,Children,60
AL,1999,Debris Burning,1251
AL,1999,Equipment Use,291
AL,1999,Lightning,63
AL,1999,Miscellaneous,229
AL,1999,Railroad,95
AL,1999,Smoking,128
AL,2000,Arson,2767
AL,2000,Campfire,48
AL,2000,Children,130
AL,2000,Debris Burning,1846
AL,2000,Equipment Use,365
AL,2000,Lightning,265
AL,2000,Miscellaneous,576
AL,2000,Railroad,81
AL,2000,Smoking,186
AL,2001,Arson,1559
AL,2001,Campfire,33
AL,2001,Children,60
AL,2001,Debris Burning,1077
AL,2001,Equipment Use,192
AL,2001,Lightning,35
AL,2001,Miscellaneous,228
AL,2001,Railroad,28
AL,2001,Smoking,97
AL,2002,Arson,1330
AL,2002,Campfire,20
AL,2002,Children,56
AL,2002,Debris Burning,1012
AL,2002,Equipment Use,167
AL,2002,Lightning,66
AL,2002,Miscellaneous,194
AL,2002,Missing/Undefined,2
AL,2002,Railroad,24
AL,2002,Smoking,55
AL,2003,Arson,909
AL,2003,Campfire,11
AL,2003,Children,29
AL,2003,Debris Burning,599
AL,2003,Equipment Use,113
AL,2003,Lightning,2
AL,2003,Miscellaneous,96
AL,2003,Missing/Undefined,2
AL,2003,Railroad,27
AL,2003,Smoking,36
AL,2004,Arson,1458
AL,2004,Campfire,11
AL,2004,Children,62
AL,2004,Debris Burning,1061
AL,2004,Equipment Use,134
AL,2004,Lightning,10
AL,2004,Miscellaneous,242
AL,2004,Missing/Undefined,6
AL,2004,Railroad,19
AL,2004,Smoking,51
AL,2005,Arson,1250
AL,2005,Campfire,20
AL,2005,Children,30
AL,2005,Debris Burning,862
AL,2005,Equipment Use,115
AL,2005,Lightning,10
AL,2005,Miscellaneous,172
AL,2005,Missing/Undefined,3
AL,2005,Railroad,37
AL,2005,Smoking,48
AL,2006,Arson,1713
AL,2006,Campfire,19
AL,2006,Children,71
AL,2006,Debris Burning,1277
AL,2006,Equipment Use,245
AL,2006,Lightning,160
AL,2006,Miscellaneous,335
AL,2006,Missing/Undefined,14
AL,2006,Railroad,47
AL,2006,Smoking,66
AL,2007,Arson,1488
AL,2007,Campfire,38
AL,2007,Children,43
AL,2007,Debris Burning,1339
AL,2007,Equipment Use,228
AL,2007,Lightning,192
AL,2007,Miscellaneous,374
AL,2007,Missing/Undefined,15
AL,2007,Railroad,61
AL,2007,Smoking,55
AL,2008,Arson,684
AL,2008,Campfire,14
AL,2008,Children,26
AL,2008,Debris Burning,771
AL,2008,Equipment Use,138
AL,2008,Lightning,40
AL,2008,Miscellaneous,264
AL,2008,Missing/Undefined,10
AL,2008,Railroad,35
AL,2008,Smoking,30
AL,2009,Arson,442
AL,2009,Campfire,10
AL,2009,Children,14
AL,2009,Debris Burning,541
AL,2009,Equipment Use,75
AL,2009,Fireworks,8
AL,2009,Lightning,18
AL,2009,Miscellaneous,192
AL,2009,Missing/Undefined,5
AL,2009,Powerline,26
AL,2009,Railroad,18
AL,2009,Smoking,12
AL,2009,Structure,11
AL,2010,Arson,620
AL,2010,Campfire,40
AL,2010,Children,16
AL,2010,Debris Burning,1173
AL,2010,Equipment Use,188
AL,2010,Fireworks,13
AL,2010,Lightning,35
AL,2010,Miscellaneous,666
AL,2010,Missing/Undefined,1
AL,2010,Powerline,65
AL,2010,Railroad,22
AL,2010,Smoking,32
AL,2010,Structure,42
AL,2011,Arson,398
AL,2011,Campfire,17
AL,2011,Children,20
AL,2011,Debris Burning,668
AL,2011,Equipment Use,94
AL,2011,Fireworks,8
AL,2011,Lightning,107
AL,2011,Miscellaneous,621
AL,2011,Missing/Undefined,3
AL,2011,Powerline,42
AL,2011,Railroad,26
AL,2011,Smoking,14
AL,2011,Structure,24
AL,2012,Arson,361
AL,2012,Campfire,19
AL,2012,Children,10
AL,2012,Debris Burning,2
AL,2012,Equipment Use,70
AL,2012,Fireworks,11
AL,2012,Lightning,62
AL,2012,Miscellaneous,1174
AL,2012,Missing/Undefined,3
AL,2012,Powerline,1
AL,2012,Smoking,14
AL,2012,Structure,20
AL,2013,Arson,273
AL,2013,Campfire,23
AL,2013,Children,8
AL,2013,Debris Burning,5
AL,2013,Equipment Use,73
AL,2013,Fireworks,3
AL,2013,Lightning,16
AL,2013,Miscellaneous,1197
AL,2013,Missing/Undefined,2
AL,2013,Powerline,44
AL,2013,Smoking,12
AL,2013,Structure,14
AL,2014,Arson,322
AL,2014,Campfire,13
AL,2014,Children,10
AL,2014,Debris Burning,1
AL,2014,Equipment Use,77
AL,2014,Fireworks,8
AL,2014,Lightning,26
AL,2014,Miscellaneous,1874
AL,2014,Missing/Undefined,5
AL,2014,Powerline,42
AL,2014,Smoking,10
AL,2014,Structure,30
AL,2015,Arson,247
AL,2015,Campfire,13
AL,2015,Children,13
AL,2015,Debris Burning,452
AL,2015,Equipment Use,113
AL,2015,Fireworks,4
AL,2015,Lightning,27
AL,2015,Miscellaneous,1150
AL,2015,Missing/Undefined,2
AL,2015,Powerline,35
AL,2015,Smoking,5
AL,2015,Structure,13
AR,1992,Arson,78
AR,1992,Campfire,6
AR,1992,Children,1
AR,1992,Debris Burning,16
AR,1992,Equipment Use,5
AR,1992,Lightning,8
AR,1992,Miscellaneous,10
AR,1992,Smoking,4
AR,1993,Arson,114
AR,1993,Campfire,4
AR,1993,Debris Burning,11
AR,1993,Equipment Use,1
AR,1993,Lightning,6
AR,1993,Miscellaneous,12
AR,1993,Smoking,3
AR,1994,Arson,110
AR,1994,Campfire,7
AR,1994,Children,2
AR,1994,Debris Burning,16
AR,1994,Equipment Use,3
AR,1994,Lightning,12
AR,1994,Miscellaneous,14
AR,1994,Smoking,3
AR,1995,Arson,164
AR,1995,Campfire,5
AR,1995,Children,1
AR,1995,Debris Burning,16
AR,1995,Equipment Use,2
AR,1995,Lightning,13
AR,1995,Miscellaneous,25
AR,1995,Railroad,1
AR,1995,Smoking,13
AR,1996,Arson,121
AR,1996,Campfire,6
AR,1996,Debris Burning,34
AR,1996,Equipment Use,4
AR,1996,Lightning,24
AR,1996,Miscellaneous,28
AR,1996,Powerline,2
AR,1996,Railroad,1
AR,1996,Smoking,4
AR,1997,Arson,490
AR,1997,Campfire,17
AR,1997,Children,10
AR,1997,Debris Burning,302
AR,1997,Equipment Use,70
AR,1997,Lightning,38
AR,1997,Miscellaneous,79
AR,1997,Railroad,14
AR,1997,Smoking,20
AR,1998,Arson,426
AR,1998,Campfire,14
AR,1998,Children,27
AR,1998,Debris Burning,275
AR,1998,Equipment Use,87
AR,1998,Lightning,100
AR,1998,Miscellaneous,166
AR,1998,Railroad,23
AR,1998,Smoking,38
AR,1999,Arson,824
AR,1999,Campfire,51
AR,1999,Children,30
AR,1999,Debris Burning,604
AR,1999,Equipment Use,174
AR,1999,Lightning,120
AR,1999,Miscellaneous,323
AR,1999,Railroad,20
AR,1999,Smoking,78
AR,2000,Arson,992
AR,2000,Campfire,17
AR,2000,Children,24
AR,2000,Debris Burning,520
AR,2000,Equipment Use,181
AR,2000,Fireworks,2
AR,2000,Lightning,185
AR,2000,Miscellaneous,328
AR,2000,Railroad,17
AR,2000,Smoking,97
AR,2001,Arson,467
AR,2001,Campfire,26
AR,2001,Children,22
AR,2001,Debris Burning,426
AR,2001,Equipment Use,70
AR,2001,Lightning,86
AR,2001,Miscellaneous,122
AR,2001,Railroad,31
AR,2001,Smoking,16
AR,2002,Arson,405
AR,2002,Campfire,13
AR,2002,Children,15
AR,2002,Debris Burning,306
AR,2002,Equipment Use,52
AR,2002,Lightning,33
AR,2002,Miscellaneous,141
AR,2002,Railroad,23
AR,2002,Smoking,13
AR,2003,Arson,542
AR,2003,Campfire,20
AR,2003,Children,17
AR,2003,Debris Burning,624
AR,2003,Equipment Use,93
AR,2003,Lightning,47
AR,2003,Miscellaneous,243
AR,2003,Missing/Undefined,2
AR,2003,Railroad,53
AR,2003,Smoking,23
AR,2004,Arson,525
AR,2004,Campfire,15
AR,2004,Children,14
AR,2004,Debris Burning,531
AR,2004,Equipment Use,89
AR,2004,Lightning,11
AR,2004,Miscellaneous,144
AR,2004,Missing/Undefined,1
AR,2004,Railroad,19
AR,2004,Smoking,15
AR,2005,Arson,878
AR,2005,Campfire,39
AR,2005,Children,37
AR,2005,Debris Burning,712
AR,2005,Equipment Use,170
AR,2005,Lightning,134
AR,2005,Miscellaneous,257
AR,2005,Missing/Undefined,2
AR,2005,Railroad,39
AR,2005,Smoking,28
AR,2006,Arson,922
AR,2006,Campfire,34
AR,2006,Children,40
AR,2006,Debris Burning,827
AR,2006,Equipment Use,169
AR,2006,Fireworks,2
AR,2006,Lightning,214
AR,2006,Miscellaneous,301
AR,2006,Missing/Undefined,3
AR,2006,Railroad,28
AR,2006,Smoking,31
AR,2007,Arson,489
AR,2007,Campfire,18
AR,2007,Children,9
AR,2007,Debris Burning,437
AR,2007,Equipment Use,106
AR,2007,Lightning,46
AR,2007,Miscellaneous,148
AR,2007,Missing/Undefined,2
AR,2007,Railroad,29
AR,2007,Smoking,17
AR,2008,Arson,275
AR,2008,Campfire,8
AR,2008,Children,9
AR,2008,Debris Burning,318
AR,2008,Equipment Use,65
AR,2008,Lightning,69
AR,2008,Miscellaneous,109
AR,2008,Missing/Undefined,13
AR,2008,Railroad,10
AR,2008,Smoking,7
AR,2009,Arson,389
AR,2009,Campfire,11
AR,2009,Children,11
AR,2009,Debris Burning,466
AR,2009,Equipment Use,57
AR,2009,Lightning,18
AR,2009,Miscellaneous,108
AR,2009,Missing/Undefined,1
AR,2009,Railroad,10
AR,2009,Smoking,5
AR,2010,Arson,646
AR,2010,Campfire,21
AR,2010,Children,23
AR,2010,Debris Burning,877
AR,2010,Equipment Use,188
AR,2010,Lightning,100
AR,2010,Miscellaneous,298
AR,2010,Missing/Undefined,4
AR,2010,Railroad,16
AR,2010,Smoking,47
AR,2011,Arson,595
AR,2011,Campfire,20
AR,2011,Children,31
AR,2011,Debris Burning,745
AR,2011,Equipment Use,198
AR,2011,Lightning,375
AR,2011,Miscellaneous,508
AR,2011,Missing/Undefined,8
AR,2011,Powerline,1
AR,2011,Railroad,16
AR,2011,Smoking,49
AR,2012,Arson,568
AR,2012,Campfire,25
AR,2012,Children,27
AR,2012,Debris Burning,582
AR,2012,Equipment Use,233
AR,2012,Fireworks,3
AR,2012,Lightning,396
AR,2012,Miscellaneous,441
AR,2012,Missing/Undefined,19
AR,2012,Railroad,11
AR,2012,Smoking,45
AR,2012,Structure,1
AR,2013,Arson,23
AR,2013,Campfire,7
AR,2013,Debris Burning,9
AR,2013,Equipment Use,11
AR,2013,Fireworks,1
AR,2013,Lightning,11
AR,2013,Miscellaneous,14
AR,2013,Missing/Undefined,769
AR,2013,Powerline,2
AR,2014,Arson,305
AR,2014,Campfire,30
AR,2014,Children,15
AR,2014,Debris Burning,655
AR,2014,Equipment Use,72
AR,2014,Lightning,18
AR,2014,Miscellaneous,171
AR,2014,Missing/Undefined,11
AR,2014,Powerline,3
AR,2014,Railroad,1
AR,2014,Smoking,14
AR,2015,Arson,29
AR,2015,Campfire,22
AR,2015,Children,14
AR,2015,Debris Burning,827
AR,2015,Equipment Use,139
AR,2015,Fireworks,1
AR,2015,Lightning,23
AR,2015,Miscellaneous,198
AR,2015,Missing/Undefined,16
AR,2015,Railroad,5
AR,2015,Smoking,15
AZ,1992,Arson,338
AZ,1992,Campfire,298
AZ,1992,Children,88
AZ,1992,Debris Burning,291
AZ,1992,Equipment Use,112
AZ,1992,Fireworks,9
AZ,1992,Lightning,1185
AZ,1992,Miscellaneous,1014
AZ,1992,Missing/Undefined,4
AZ,1992,Powerline,1
AZ,1992,Railroad,17
AZ,1992,Smoking,136
AZ,1992,Structure,1
AZ,1993,Arson,459
AZ,1993,Campfire,517
AZ,1993,Children,216
AZ,1993,Debris Burning,868
AZ,1993,Equipment Use,152
AZ,1993,Fireworks,17
AZ,1993,Lightning,1025
AZ,1993,Miscellaneous,839
AZ,1993,Missing/Undefined,157
AZ,1993,Powerline,3
AZ,1993,Railroad,95
AZ,1993,Smoking,290
AZ,1993,Structure,1
AZ,1994,Arson,306
AZ,1994,Campfire,417
AZ,1994,Children,154
AZ,1994,Debris Burning,289
AZ,1994,Equipment Use,170
AZ,1994,Fireworks,20
AZ,1994,Lightning,2051
AZ,1994,Miscellaneous,700
AZ,1994,Missing/Undefined,161
AZ,1994,Railroad,57
AZ,1994,Smoking,191
AZ,1994,Structure,3
AZ,1995,Arson,420
AZ,1995,Campfire,463
AZ,1995,Children,207
AZ,1995,Debris Burning,365
AZ,1995,Equipment Use,166
AZ,1995,Fireworks,10
AZ,1995,Lightning,1426
AZ,1995,Miscellaneous,928
AZ,1995,Missing/Undefined,199
AZ,1995,Powerline,6
AZ,1995,Railroad,40
AZ,1995,Smoking,272
AZ,1996,Arson,154
AZ,1996,Campfire,316
AZ,1996,Children,147
AZ,1996,Debris Burning,262
AZ,1996,Equipment Use,129
AZ,1996,Fireworks,2
AZ,1996,Lightning,1995
AZ,1996,Miscellaneous,398
AZ,1996,Missing/Undefined,104
AZ,1996,Powerline,2
AZ,1996,Railroad,27
AZ,1996,Smoking,225
AZ,1997,Arson,171
AZ,1997,Campfire,309
AZ,1997,Children,135
AZ,1997,Debris Burning,133
AZ,1997,Equipment Use,55
AZ,1997,Fireworks,13
AZ,1997,Lightning,1186
AZ,1997,Miscellaneous,174
AZ,1997,Powerline,2
AZ,1997,Railroad,5
AZ,1997,Smoking,65
AZ,1997,Structure,2
AZ,1998,Arson,442
AZ,1998,Campfire,305
AZ,1998,Children,297
AZ,1998,Debris Burning,179
AZ,1998,Equipment Use,52
AZ,1998,Fireworks,29
AZ,1998,Lightning,836
AZ,1998,Miscellaneous,445
AZ,1998,Missing/Undefined,1
AZ,1998,Powerline,2
AZ,1998,Railroad,12
AZ,1998,Smoking,79
AZ,1999,Arson,162
AZ,1999,Campfire,359
AZ,1999,Children,130
AZ,1999,Debris Burning,178
AZ,1999,Equipment Use,94
AZ,1999,Fireworks,13
AZ,1999,Lightning,1073
AZ,1999,Miscellaneous,588
AZ,1999,Missing/Undefined,3
AZ,1999,Powerline,2
AZ,1999,Railroad,17
AZ,1999,Smoking,115
AZ,1999,Structure,2
AZ,2000,Arson,185
AZ,2000,Campfire,248
AZ,2000,Children,106
AZ,2000,Debris Burning,192
AZ,2000,Equipment Use,115
AZ,2000,Fireworks,8
AZ,2000,Lightning,2348
AZ,2000,Miscellaneous,535
AZ,2000,Missing/Undefined,8
AZ,2000,Powerline,8
AZ,2000,Railroad,7
AZ,2000,Smoking,98
AZ,2000,Structure,1
AZ,2001,Arson,254
AZ,2001,Campfire,366
AZ,2001,Children,92
AZ,2001,Debris Burning,164
AZ,2001,Equipment Use,129
AZ,2001,Fireworks,16
AZ,2001,Lightning,1446
AZ,2001,Miscellaneous,598
AZ,2001,Missing/Undefined,3
AZ,2001,Powerline,2
AZ,2001,Railroad,5
AZ,2001,Smoking,109
AZ,2001,Structure,2
AZ,2002,Arson,242
AZ,2002,Campfire,227
AZ,2002,Children,95
AZ,2002,Debris Burning,200
AZ,2002,Equipment Use,136
AZ,2002,Fireworks,5
AZ,2002,Lightning,1212
AZ,2002,Miscellaneous,604
AZ,2002,Missing/Undefined,7
AZ,2002,Powerline,6
AZ,2002,Railroad,18
AZ,2002,Smoking,159
AZ,2002,Structure,7
AZ,2003,Arson,117
AZ,2003,Campfire,201
AZ,2003,Children,68
AZ,2003,Debris Burning,136
AZ,2003,Equipment Use,99
AZ,2003,Fireworks,11
AZ,2003,Lightning,1678
AZ,2003,Miscellaneous,520
AZ,2003,Missing/Undefined,3
AZ,2003,Railroad,9
AZ,2003,Smoking,74
AZ,2004,Arson,154
AZ,2004,Campfire,188
AZ,2004,Children,122
AZ,2004,Debris Burning,108
AZ,2004,Equipment Use,110
AZ,2004,Fireworks,2
AZ,2004,Lightning,1526
AZ,2004,Miscellaneous,385
AZ,2004,Missing/Undefined,182
AZ,2004,Powerline,1
AZ,2004,Railroad,6
AZ,2004,Smoking,57
AZ,2004,Structure,2
AZ,2005,Arson,556
AZ,2005,Campfire,243
AZ,2005,Children,179
AZ,2005,Debris Burning,191
AZ,2005,Equipment Use,96
AZ,2005,Fireworks,20
AZ,2005,Lightning,1190
AZ,2005,Miscellaneous,634
AZ,2005,Missing/Undefined,505
AZ,2005,Powerline,2
AZ,2005,Railroad,14
AZ,2005,Smoking,53
AZ,2005,Structure,7
AZ,2006,Arson,191
AZ,2006,Campfire,166
AZ,2006,Children,88
AZ,2006,Debris Burning,129
AZ,2006,Equipment Use,89
AZ,2006,Fireworks,12
AZ,2006,Lightning,1824
AZ,2006,Miscellaneous,561
AZ,2006,Missing/Undefined,206
AZ,2006,Powerline,1
AZ,2006,Railroad,12
AZ,2006,Smoking,38
AZ,2006,Structure,2
AZ,2007,Arson,194
AZ,2007,Campfire,182
AZ,2007,Children,53
AZ,2007,Debris Burning,87
AZ,2007,Equipment Use,89
AZ,2007,Fireworks,10
AZ,2007,Lightning,1145
AZ,2007,Miscellaneous,580
AZ,2007,Missing/Undefined,67
AZ,2007,Powerline,3
AZ,2007,Railroad,4
AZ,2007,Smoking,28
AZ,2007,Structure,1
AZ,2008,Arson,133
AZ,2008,Campfire,215
AZ,2008,Children,109
AZ,2008,Debris Burning,85
AZ,2008,Equipment Use,122
AZ,2008,Fireworks,4
AZ,2008,Lightning,695
AZ,2008,Miscellaneous,355
AZ,2008,Missing/Undefined,148
AZ,2008,Powerline,1
AZ,2008,Railroad,12
AZ,2008,Smoking,19
AZ,2009,Arson,183
AZ,2009,Campfire,263
AZ,2009,Children,101
AZ,2009,Debris Burning,95
AZ,2009,Equipment Use,120
AZ,2009,Fireworks,6
AZ,2009,Lightning,928
AZ,2009,Miscellaneous,564
AZ,2009,Missing/Undefined,31
AZ,2009,Powerline,4
AZ,2009,Railroad,1
AZ,2009,Smoking,34
AZ,2009,Structure,3
AZ,2010,Arson,60
AZ,2010,Campfire,183
AZ,2010,Children,46
AZ,2010,Debris Burning,169
AZ,2010,Equipment Use,84
AZ,2010,Fireworks,6
AZ,2010,Lightning,583
AZ,2010,Miscellaneous,410
AZ,2010,Missing/Undefined,39
AZ,2010,Powerline,3
AZ,2010,Railroad,12
AZ,2010,Smoking,21
AZ,2010,Structure,1
AZ,2011,Arson,92
AZ,2011,Campfire,136
AZ,2011,Children,33
